sample	sex	pop	source	super_pop	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
NA12006	U	CEU	1000G	EUR	-11.437181161528654	16.64728601124881	-2.836877147765083	-0.6794678690265049	0.41920544444703267	-0.0916977123492868	-0.13087282352813245	-0.805168960194433	0.03081557709945724	0.5836851763462876
NA12043	U	CEU	1000G	EUR	-13.243635688009793	16.309996784575215	-1.2416435379377089	-1.2305663475292752	-5.266685774625707	0.8692990007664109	-0.5350317968879134	-0.30526135338741756	0.46442876429038077	0.8737303361073244
NA12044	U	CEU	1000G	EUR	-13.081955579675467	16.0485212033434	-2.1459383720656815	0.37630984766382763	-3.598211348991209	-0.5014078547930421	0.2563480187554471	-0.0672061239923687	0.646218013588383	0.06920545127403985
NA12045	U	CEU	1000G	EUR	-11.781943247037795	16.108292702309	-2.982374718318616	-0.38703620690735335	0.6267247397997013	1.528665306152621	-0.85191363120129	-0.3043327283067288	0.6150564323939026	0.04909061739820773
NA12046	U	CEU	1000G	EUR	-12.444219897662508	15.728393504359323	-1.8465219150763295	-1.278918518150722	-3.934852400493217	-0.043069680488720716	-0.4944109498547899	0.7450263991275857	1.152116883383767	-0.5782208639682598
NA12058	U	CEU	1000G	EUR	-13.033704282684385	13.903714000165534	-1.3285164219429162	0.9421087809538825	-2.5926656509793804	0.3213494901425764	-0.4783831057142874	0.8304345021116728	-0.7881248686677536	0.6522137700287747
NA12144	U	CEU	1000G	EUR	-13.128882967094963	16.08693019278935	-1.8243547059174183	-0.6639990073207287	-5.608655114427061	-0.5736778394883226	1.1280797428429437	0.15164612761864274	0.9482947893624702	0.7803190377002318
NA12154	U	CEU	1000G	EUR	-13.464763991611438	16.15428277418831	-1.3985840379402261	-0.1649280945946664	-1.9774752306639962	-1.8380467908690317	1.4192110453160822	-0.19920645533687595	0.6584887063587007	0.8754978547002373
NA12155	U	CEU	1000G	EUR	-13.004629928884551	15.039034800941685	-1.1614850377734143	0.3424949833558465	-1.0391102299626738	0.6078596696334708	0.42807353768206274	0.5935912462554425	0.14599742524457746	-1.394690050829155
NA12156	U	CEU	1000G	EUR	-12.608005666461523	13.886766492667146	-2.2513830549694593	-0.4013609594333713	0.6816792369901643	0.7690290918665524	0.8826062575344301	0.5008450868723535	0.7291344385867364	2.4914436890574243
NA12234	U	CEU	1000G	EUR	-12.672493299683277	14.657141064788606	-2.160490738489233	-0.23776632520130034	-3.493701655823563	-0.498742166338782	1.919613290793125	-0.3531179038707728	1.7001581470657314	-1.087319012452445
NA12249	U	CEU	1000G	EUR	-11.685295642633001	14.340368733103093	-0.4219692826233808	0.16774082001317348	4.037562049999667	1.301747937165187	0.9116654121354488	-0.37014126044333645	-0.922713015260283	0.5295801589092594
NA12272	U	CEU	1000G	EUR	-11.219074735960422	15.439636151865397	-2.183901892962574	0.3589454139251024	3.884914799358012	0.054821029918979435	-0.5712875425726143	-0.6416959510715707	-2.24405842521236	0.5397759764459173
NA12273	U	CEU	1000G	EUR	-12.02402291489864	17.50356428952853	-2.5232778163751366	1.0628711248092464	4.650600762499685	-0.36415290011989077	0.1808983814376078	-0.6951851441281306	-0.12515739094648007	-1.085775476265577
NA12275	U	CEU	1000G	EUR	-12.510862037608403	14.858430153887197	-2.53713737582929	0.081314692793768	1.9577157423305223	1.0359021748607433	0.4867355617206929	0.025630448412041644	0.239947360573853	-1.3908235112098912
NA12282	U	CEU	1000G	EUR	-11.211142414629471	14.807186526998581	-2.0089607728663563	0.054801823294836294	-1.9212980792774952	-0.24052960120326092	1.7558393678823025	-0.1568314654647892	-0.23570291568163163	-0.6277606472599603
NA12283	U	CEU	1000G	EUR	-10.933081857285112	14.687422655939905	-3.4216137312202393	-0.28858009597138956	-2.6611273986809065	0.08506518280173996	0.06562628083688303	1.6162293312684666	0.43712830874431363	-1.2662879376236351
NA12286	U	CEU	1000G	EUR	-12.885736087161929	16.05338638979179	-2.1908283879975317	-1.4174000694566768	-2.695870411602538	-0.8124964183927126	-0.8741079723177059	0.05773729339730181	-0.34083421997860097	0.4232850184470988
NA12287	U	CEU	1000G	EUR	-11.893789268969233	16.591128046233592	-1.685158603699798	-1.3902315626190749	0.7507058532547354	-1.108007524398971	1.0035007738422288	-1.288915304252345	0.354120221731892	-0.8331948135825397
NA12340	U	CEU	1000G	EUR	-11.190605453214912	14.658436857258963	-3.919586473754725	-0.5653472288249071	3.583619034388086	-1.4880480770034485	1.3976443236744982	-1.278650456898124	-1.0759378263960753	-0.3754572492494786
NA12341	U	CEU	1000G	EUR	-11.916628057459812	16.41114664555425	-3.036594982435494	-0.048694599866362036	3.255159023648004	0.859896833049153	-0.6133351345607744	-0.5697760077911074	0.43613206813214433	-0.1712164647167594
NA12342	U	CEU	1000G	EUR	-12.175554435221406	15.710454154623154	-1.9670269775888425	-0.8356875203898808	-2.816687963494154	-1.171051772886898	0.4116305056552077	0.7592897220102094	1.6441867111266661	-0.7705411460935432
